id,id_empresa,ativo,pessoa,fantasia,razao,nome,documento,ie,telefone1,telefone2,email,site,cep,estado,codigo_cidade,cidade,bairro,endereco,numero,complemento,observacoes,deletado
943,943,1,0,JUNIOR PROGRAMADOR,JUNIOR PROGRAMADOR,JUNIOR PROGRAMADOR,NULL,NULL,(16) 3416 - 3025,(16) 8198 - 2111,juninho@uaitecnologia.com.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NAO LIGAR DAS AS 11:00 AS 13:00 (HORARIO DE ALMOCO),0
945,945,1,0,BRAZIL TIRES COMERCIO IMPORTACAO EXPORTACAO,BRAZIL TIRES,BRAZIL TIRES,06.555.831/0001-06,645475379110,(16) 9203 - 7998,(12) 3933 - 8990,12238410,NULL,NULL,SAO JOSE DOS CAMPOS,NULL,NULL,NULL,R:JAGUARAO,777,CHACARA REUNIDAS,radio 713*27006,0
947,947,1,0,PEREZ OXIGENIO,PEREZ OXIGENIO,PEREZ OXIGENIO,NULL,NULL,(16) 3371 - 9540,(16) 9783 - 5907,NULL,NULL,NULL,SAO CARLOS,NULL,NULL,NULL,R.HENRIQUE GREGORI,57,BELA VISTA,NULL,0
948,948,1,0,AMALFI MORI,AMALFI MORI,AMALFI MORI,NULL,NULL,(16) 3322 - 7977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
949,949,1,0,TORNEIRO MILTON,TORNEIRO,TORNEIRO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GIADA SR.TURY,0
950,950,1,0,BARDAN AUTO PECAS DESMAN.,TIAGO,TIAGO,NULL,NULL,(16) 3397 - 7253,(16) 3397 - 7254,NULL,NULL,NULL,NULL,NULL,NULL,SAO JOSE,R. 8   733,NULL,NULL,NULL,0
951,951,1,0,COMPRA DE CARCACA-NILTON/ARARAQUARA,CARCACA,CARCACA,NULL,NULL,(16) 3024 - 8808,(16) 9184 - 3699,NULL,NULL,NULL,SP,NULL,RIBEIRAO PRETO,NULL,NULL,NULL,NULL,NULL,0
955,955,1,0,ESTRADAO AUTO CENTER,ESTRADAO,ESTRADAO,NULL,NULL,(16) 3333 - 6000,NULL,NULL,NULL,NULL,SP,NULL,ARARAQUARA,VILA XAVIER,NULL,NULL,NULL,LOJA 9 DE JUNHO  33314477,0
957,957,1,0,LUBRIFICANTE-SHELL (QUIT),QUIT,QUIT,NULL,NULL,(16) 3638 - 8558,NULL,rodrigo.ferrenha@quit.com.br,NULL,NULL,SP,NULL,RIB.PRETO,NULL,NULL,NULL,NULL,VENDE  MICHELAN,0
959,959,1,0,SUL AMERICANO RODAS,IMPORTADOR DE RODAS,IMPORTADOR DE RODAS,NULL,NULL,(41) 3075 - 6200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
960,960,1,0,PAR OU IMPAR PNEUS E RODAS LTDA,PAR OU IMPAR PNEUS E RODAS LTDA,PAR OU IMPAR PNEUS E RODAS LTDA,NULL,NULL,(17) 9142 - 2152,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
961,961,1,0,DISTRIBUIDORA CANGURU MASTER,JOSE GASQUES ACESSORIOS-EPP,JOSE GASQUES ACESSORIOS-EPP,NULL,NULL,(18) 2101 - 1987,(18) 8102 - 0102,NULL,NULL,NULL,PRESIDENTE PRUDENTE,NULL,NULL,NULL,AV JOAQUIM CONSTANTINO,1393,JUD HIGIENOPOLIS,canguruvendas@terra.com.br,0
962,962,1,0,EMBREAGEM COMPAX-RECONDICIONADA,EMBREAGEM,EMBREAGEM,NULL,NULL,(16) 3331 - 3142,(16) 3214 - 3000,compax_embreagebs@hotmail.com,NULL,NULL,SP,NULL,ARARAQUARA,NULL,NULL,NULL,NULL,NULL,0
964,964,1,0,DISTRIBUIDOR-MENIL(ARARAQUARA),MENIL AUTO PECAS,MENIL AUTO PECAS,NULL,NULL,(16) 3508 - 0999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VILA STA ANGELINA,AV. 36  886,NULL,NULL,LUIZ PEREIRA 016-92246117**MARCAO 99255-8507,0
969,969,1,0,SO PECAS,SO PECAS,SO PECAS,NULL,NULL,(16) 3334 - 2155,NULL,NULL,NULL,14800-000,SP,NULL,ARARAQUARA,DISTRITO,ENG CAMILO DINUCCI,NULL,NULL,NULL,0
970,970,1,0,MENINAO FERRO VELHO PECAS USADAS,MENINAO,MENINAO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
971,971,1,0,COSMOS,COSMOS WHEELS LTDA,COSMOS WHEELS LTDA,10.636.688/0001-54,9049226508,(00) 3367 - 4844,NULL,NULL,NULL,NULL,PARANA,NULL,NULL,NULL,RUA JOAO TREVISAN,1203,JD GRANDE DO SUL,NULL,0
2992,2992,1,0,MAOS A OBRA,EDISON E DE PAULA JUNIOR CONSTRUCAO,EDISON E DE PAULA JUNIOR CONSTRUCAO,11.882.088/0001-39,181374315111,NULL,NULL,NULL,NULL,14811-218,SP,3503208,ARARAQUARA,JARDIM AMERICA,AVENIDA FRANCISCO VAZ FILHO,2515,NULL,NULL,0
973,973,1,0,PRODUTOS-HIGIENIZACAO-OCTAVIO,OCTAVIO C.PEREIRA NETO,OCTAVIO C.PEREIRA NETO,NULL,NULL,(16) 3335 - 1518,NULL,NULL,www.ontech.com.br,14802-440,SP,NULL,ARARAQUARA,VILA HARMONIA,R.HENRIQUE LUPO.1521,NULL,NULL,NULL,0
974,974,1,0,ADVOGADO RONIJER CASALE,RONIJER,RONIJER,NULL,NULL,(16) 9184 - 9700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3374-5411 / PECUARIA 3351-0055,0
981,981,1,0,OXIMATAO,OXIGENIO,OXIGENIO,NULL,NULL,(16) 9179 - 8899,NULL,NULL,NULL,NULL,NULL,NULL,ARARAQUARA,NULL,NULL,NULL,NULL,NULL,0
983,983,1,0,AYMORE,EVERTON NEIL ELIAS,EVERTON NEIL ELIAS,NULL,NULL,(16) 3324 - 6994,(16) 9242 - 7784,marcos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,RIBEIRAO PRETO,0
984,984,1,0,PINTOR HUMBERTO,PINTOR DE VITRINI,PINTOR DE VITRINI,NULL,NULL,NULL,(16) 3331 - 5468,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
985,985,1,0,BANCO SANTANDER-MARCO/MAQUINA,MAQUINA CREDITO/GERENTE,MAQUINA CREDITO/GERENTE,NULL,NULL,(16) 8125 - 6860,(16) 3303 - 4300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
986,986,1,0,CHUMBO AG,AG CAR ACESSORIOS,AG CAR ACESSORIOS,NULL,NULL,(19) 3876 - 2281,NULL,NULL,NULL,NULL,VINHEDO,NULL,NULL,NULL,R: JOSE SABO,580,JD MIRIAN,agcar_acessorios@hotmail.com,0
987,987,1,0,ANCHIETA LUBRIFICANTE,ANCHIETA/OLEO,ANCHIETA/OLEO,NULL,NULL,(16) 3357 - 0247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1110 ESQ COM A 8,AV BARROSO,NULL,NULL,NULL,0
988,988,1,0,ANA VITTURI PROPAGANDA,ANA VITTURI PROPAGANDA,ANA VITTURI PROPAGANDA,53.751.285/0001-69,NULL,(16) 9151 - 2482,NULL,NULL,NULL,NULL,IBATE,NULL,NULL,NULL,R:VISCONDE DE PELOTAS,966,CENTRO,NULL,0
989,989,1,0,ARAIMPORTES,ARAIMPORTES,ARAIMPORTES,NULL,NULL,(16) 3332 - 9161,(16) 3332 - 5418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
991,991,1,0,AUTO AMERICAN,AUTO AMERICAN,AUTO AMERICAN,NULL,NULL,(16) 3301 - 7800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
992,992,1,0,PNEU-DHK,DHK DIST DE PNEUS E ACESS LTDA,DHK DIST DE PNEUS E ACESS LTDA,NULL,NULL,(11) 2545 - 8893,NULL,NULL,NULL,03802-010,SP,NULL,SAO PAULO,369,AV BOTURRUSSU,NULL,PRECO BOM-MAURO,PASSEI SOBRE CNPJ P/EMISSAO DE NF-MISAEL,0
993,993,1,0,GM-GRACIANO,GRACIANO,GRACIANO,NULL,NULL,(16) 3301 - 4488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
994,994,1,0,DIVERSOS,DIVERSOS,DIVERSOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1577,1577,1,0,RODA MANIA,RODA MANIA,RODA MANIA,NULL,NULL,(16) 3368 - 4696,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
1582,1582,1,0,ALPHA MUFFLER,ALPHA MUFFLER,ALPHA MUFFLER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1593,1593,1,0,PNEU-DUNLOP,PONTO CINCO COM.DE PNEUS LTDA,PONTO CINCO COM.DE PNEUS LTDA,10.472.129/0010-47,1900093069119,(11) 4414 - 6565,NULL,NULL,NULL,13560-000,SP,3548906,SAO CARLOS,CENTRO,R.ALFREDO ANDRE,705,NULL,ANA CAROLINA-----011-44146550,0
1608,1608,1,0,VIDREX,VIDREX,VIDREX,NULL,NULL,(16) 3361 - 4242,(16) ____ - ____,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
1632,1632,1,0,FAROL E CIA (FABIO TEMA),FAROL E CIA (FABIO TEMA),FAROL E CIA (FABIO TEMA),NULL,NULL,(16) 3415 - 7855,NULL,farolciasc@hotmail.com,NULL,13560-000,SP,3548906,SAO CARLOS,VL MARCELINO,RUA MACHADO DE ASSIS,696,BARRACAO,NULL,0
1651,1651,1,0,RITMO BRINDES,RITMO BRINDES,RITMO BRINDES,NULL,NULL,(11) 2952 - 2617,(11) 2996 - 1593,NULL,NULL,NULL,SP,3550308,SAO PAULO,NULL,NULL,NULL,NULL,RELOGIO CONTINENTAL,0
1655,1655,1,0,JUNIOR COLETOR(TORNEIRO),TORNEIRO COLETOR,TORNEIRO COLETOR,NULL,NULL,(16) 3372 - 8121,NULL,NULL,NULL,13569-270,SP,3548906,SAO CARLOS,JARDIM BRASIL,RUA EUGENIO FRANCO DE CAMARGO,2542,PROXIMO MR,LOCAL: PROXIMO MR PRACA ATRAS DA HERO...VILA NERY 10*433318,0
1686,1686,1,0,SOS RODAS REFORMA,DANIEL,DANIEL,NULL,NULL,(16) 3419 - 7950,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
1740,1740,1,0,BRINDES CONTINENTAL - MF ARTIGOS,ADILSON - BRINDES PERSONALIZADOS,ADILSON - BRINDES PERSONALIZADOS,NULL,NULL,(16) 3407 - 6434,NULL,info@mfartigos.com.br,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WWW.MFARTIGOS.COM.BR,0
1741,1741,1,0,VIP ARTIGOS AUTOMOTIVOS,RICARDO LEME,RICARDO LEME,05.118.049/0001-67,209349675116,(14) 3237 - 3636,NULL,NULL,NULL,NULL,BAURU,0,3506003,0,RUA ADANTE GIGO, 10-10,JARDIM DONA LILI,NULL,0
1752,1752,1,0,JAVEP SC,JAVEP VEICULOS PECAS E SERVICOS LTDA SC,JAVEP VEICULOS PECAS E SERVICOS LTDA SC,50.752.211/0002-30,637249930116,(16) 2107 - 7000,NULL,NULL,NULL,13561-270,SP,3548906,SAO CARLOS,JARDIM GIBERTONI,AV. COM. ALFREDO MAFFEI,200,.,NULL,0
1762,1762,1,0,DISSOLTEX,DI,DI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1768,1768,1,0,COTIA,WURTH DO BRASIL PECAS DE FIXACAO LTDA,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0001-55,278024442113,(11) 4613 - 1900,NULL,NULL,NULL,06713-250,SP,3513009,COTIA,JD SAO VICENTE,R: ADOLF WURTH,557,NULL,NULL,0
1775,1775,1,0,CARLOS (BICO COM SENSOR),BICOS,BICOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,CARLOS (14) 99615-1668,0
1779,1779,1,0,ENCANAMENTO AR COMPRESSOR,CARLOS - ENCANAMENTO AR COMP.,CARLOS - ENCANAMENTO AR COMP.,NULL,NULL,(16) 8136 - 5295,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
1784,1784,1,0,LOSANGO,LOSANGO,LOSANGO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,(16) 36102875 / (16) 982620066 MARCELO,0
1789,1789,1,0,VIEIRA CONSERTO MOTOR ELETRICO,VIEIRA CONSERTO,VIEIRA CONSERTO,NULL,NULL,(16) 3501 - 4017,NULL,vendas.itv@hotmail.com,NULL,13567-231,SP,3548906,SAO CARLOS,VILA JACOBUCCI,RUA ANTONIO ROGANO,491,NULL,NULL,0
1799,1799,1,0,COMERCIAL E IMPORTADORA DE PNEUS LTDA,COMERCIAL E IMPORTADORA DE PNEUS LTDA,COMERCIAL E IMPORTADORA DE PNEUS LTDA,61.234.985/0103-39,637218200116,(16) 3363 - 2010,NULL,NULL,NULL,13570-390,SP,3548906,SAO CARLOS,VILA ISABEL,AVENIDA GETULIO VARGAS,224,NULL,NULL,0
1803,1803,1,0,CENTER TINTAS ELEVADOR,FERNANDO FUTEBOL E EDSON(NENE),FERNANDO FUTEBOL E EDSON(NENE),NULL,NULL,(16) 3376 - 1413,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,TINTA ELEVADOR DF PNEUS AZUL N�5015,0
1805,1805,1,0,RECAPEX - PDV 13,REDE RECAPEX PNEUS LTDA,REDE RECAPEX PNEUS LTDA,55.299.440/0006-98,637131266117,NULL,NULL,NULL,NULL,13570-390,SP,3548906,SAO CARLOS,VILA LUTFALLA,AVENIDA GETULIO VARGAS,71,NULL,NULL,0
1811,1811,1,0,ZUP CUSTOM- UNIFORMES,FERNANDA SOARES PORTO,FERNANDA SOARES PORTO,NULL,NULL,(16) 3368 - 4847,NULL,NULL,NULL,13575-380,SP,3548906,SAO CARLOS,JARDIM BOTAFOGO 1,AVENIDA JOSE PEREIRA LOPES,1071,NULL,UNIFORMES,0
1823,1823,1,0,CAR TECH ALINHAMENTO,EMEB,EMEB,NULL,NULL,(11) 4024 - 1177,NULL,NULL,NULL,NULL,SP,3523909,ITU,NULL,NULL,NULL,NULL,11-964220358,0
1835,1835,1,0,ROLAMENTO-DANROLL,DANROLL ROLAMENTOS,DANROLL ROLAMENTOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VILA ALPES,AV.GETULIO VARGAS,743,NULL,NULL,0
1842,1842,1,0,WEG MOTORES(ASSISTENCIA EMASTER),ELETROTECNICA(MANUTENCAO MOTOR ELEVADOR),ELETROTECNICA(MANUTENCAO MOTOR ELEVADOR),NULL,NULL,(16) 3366 - 3659,NULL,NULL,NULL,13573-470,SP,3548906,SAO CARLOS,CEAT,RUA ALDO GERMANO KLEIN,202,NULL,ROSANGELA )ATRAS DA MODENUTTI TRANSPORTADORA AO LADO DA SALUTE),0
1868,1868,1,0,CAMELO METAL(NEUTRACK),CAMELO METAL(NEUTRACK),CAMELO METAL(NEUTRACK),NULL,NULL,NULL,NULL,NULL,NULL,61642-000,CE,2303709,CAUCAIA,PARQUE DAS NACOES (JUREMA),RODOVIA BR-222,NULL,NULL,NULL,0
1875,1875,1,0,MECANICO DA PEUGEOT(SAO CARLOS),MECANICO DA PEUGEOT(SAO CARLOS),MECANICO DA PEUGEOT(SAO CARLOS),NULL,NULL,(16) 3368 - 1214,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,ROCHA POMBO,66,NULL,NULL,0
1882,1882,1,0,EXTRUTEC-ESCAPAMENTOS(TORNEIRO),FERRAMENTARIA EXTRUTEC LTDA,FERRAMENTARIA EXTRUTEC LTDA,03.689.852/0001-26,637240933110,(16) 3368 - 3364,NULL,extrutec@terra.com.br,NULL,13570-673,SP,3548906,SAO CARLOS,VILA LUTFALLA,RUA MACHADO DE ASSIS,42,NULL,POSTO DA AVENIDA PROXIMO A PRACA ITALIA VIRA A DIREITA...LAGOA SERENA,0
1884,1884,1,0,ELAVON MAQUININHAS,ELAVON,ELAVON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ARARQUARA - LOGIN:CASALERAFAELYAHOO.COM.BR SENHA:C(MAIUS.)AS(MINUS.)3020%0,0
1886,1886,1,0,LIDER CACAMBA,LIDER CACAMBA,LIDER CACAMBA,NULL,NULL,(16) 3307 - 6454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1912,1912,1,0,LX - SAO CARLOS,LWIZ XV COMERCIAL LTDA,LWIZ XV COMERCIAL LTDA,04.483.021/0005-90,637290889115,(16) 3368 - 5000,NULL,NULL,NULL,13570-390,SP,3548906,SAO CARLOS,JARDIM SAO PAULO,AV GETULIO VARGAS,1850,NULL,NULL,0
1917,1917,1,0,DUCHE CHEMIE PROD PL BOR LT EPP,DUCHE CHEMIE PROD PL BOR LT EPP,DUCHE CHEMIE PROD PL BOR LT EPP,02.473.036/0001-18,NULL,NULL,NULL,NULL,NULL,13280-000,SP,3556701,VINHEDO,NOA VINHEDO,RUA OTAVIO PINHATA,106,NULL,NULL,0
1920,1920,1,0,LUCAS(EX.CONTI),LUCAS(EX.CONTI),LUCAS(EX.CONTI),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
1932,1932,1,0,SAO GERALDO TINTAS,SAO GERALDO TINTAS,SAO GERALDO TINTAS,NULL,NULL,(16) 3362 - 4444,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
1946,1946,1,0,JACIARA - ANTIGA CAMUFLAGEM,JACIARA - ANTIGA CAMUFLAGEM,JACIARA - ANTIGA CAMUFLAGEM,NULL,NULL,(16) 9197 - 5998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2040,2040,1,0,AUTO PECAS SASAKI(PECAS CHERY),AUTO PECAS SASAKI CARAGUA LTDA-EPP,AUTO PECAS SASAKI CARAGUA LTDA-EPP,NULL,NULL,(12) 3882 - 4702,NULL,NULL,www.sasakiautopecas.com.br,11660-690,SP,3510500,CARAGUATATUBA,JARDIM PRIMAVERA,AVENIDA MARANHAO,615,21,CONTATOSASAKIAUTOPECAS.COM.BR,0
2049,2049,1,0,PAX COMERCIO DE PNEUS EIRELI,PAX COMERCIO DE PNEUS EIRELI,PAX COMERCIO DE PNEUS EIRELI,02.316.749/0001-78,189077230114,(18) 3325 - 1204,NULL,NULL,NULL,NULL,ASSIS,TERREO,3504008,0,AV. RUI BARBOSA,1975,JDM PAULISTA,NULL,0
2063,2063,1,0,LM RODAS(REFORMA),LM,LM,NULL,NULL,(16) 3419 - 7960,NULL,NULL,NULL,13570-770,SP,3548906,SAO CARLOS,VILA IZABEL,RUA PADRE JOAQUIM BOTELHO DA FONSECA,431,NULL,NULL,0
2072,2072,1,0,CRISMAR TORNEIRO-NIKA,NIKA TORNEIRO,NIKA TORNEIRO,NULL,NULL,(16) 3362 - 4592,NULL,NULL,NULL,13570-430,SP,3548906,SAO CARLOS,JARDIM SAO PAULO,RUA BRUNO PANHOCA,253,NULL,992066263 RUA DA CASA DO SERRALHEIRO,0
2081,2081,1,0,AMORTECEDORES-SS(BILSTEN),BILSTEN,BILSTEN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,IGO-011-950593704,0
2090,2090,1,0,JABU ENGENHARIA - LOJA 001,JABU ENGENHARIA ELETRICA LTDA,JABU ENGENHARIA ELETRICA LTDA,56.045.677/0001-09,637058355115,(16) 3362 - 3300,NULL,NULL,NULL,NULL,SAO CARLOS, ,3548906,CENTRO,RUA GAL OSORIO,1250,C/ ACESSO TAMBEM PELA RUA BENTO CARLOS,NULL,0
2100,2100,1,0,LUBRASIL,LUBRASIL LUBRIFICANTES LTDA,LUBRASIL LUBRIFICANTES LTDA,49.396.591/0001-57,535068467116,(19) 3415 - 9955,NULL,coleta@lubrasil.com.br,NULL,13406-005,SP,3538709,PIRACICABA,VALE DO SOL,RUA OLIVIA GOBBO NARDELLI,141,NULL,NULL,0
2107,2107,1,0,UNIMED SAO CARLOS,UNIMED SAO CARLOS COOP DE  TRAB MEDICO,UNIMED SAO CARLOS COOP DE  TRAB MEDICO,45.359.213/0001-42,NULL,NULL,NULL,NULL,NULL,NULL,SP,3548906,SAO CARLOS,NULL,NULL,NULL,NULL,NULL,0
2991,2991,1,0,POSTO CAWBOY,POSTO CAWBOY FOREVER LTDA,POSTO CAWBOY FOREVER LTDA,12.437.857/0001-52,391049981114,NULL,NULL,NULL,NULL,14870-010,SP,3524303,JABOTICABAL,CENTRO,AVENIDA CARLOS BERCHIERI,1600,NULL,NULL,0
2121,2121,1,0,ODONTO PREV,ODONTO PREV,ODONTO PREV,58.119.199/0001-51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2126,2126,1,0,CLAUDINEI MARCELINO GOMES- MANUTENCAO,CLAUDINEI MARCELINO GOMES- MANUTENCAO,CLAUDINEI MARCELINO GOMES- MANUTENCAO,01.770.446/0001-68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2128,2128,1,0,CERTISIGN CERTIFICADORA D S A,CERTISIGN CERTIFICADORA D S A,CERTISIGN CERTIFICADORA D S A,01.554.285/0001-75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2131,2131,1,0,LAVA RAPIDO AUTO BRILHO,LAVA RAPIDO,LAVA RAPIDO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2147,2147,1,0,SPC BRASIL,CAMARA DE DIRIGENTES LOJISTAS DA REGIAO METROPOLITANA DE SP,CAMARA DE DIRIGENTES LOJISTAS DA REGIAO METROPOLITANA DE SP,20.526.353/0001-37,NULL,NULL,NULL,NULL,NULL,04004-030,SP,3550308,SAO PAULO,PARAISO,RUA DESEMBARGADOR ELISEU GUILHERME,282,NULL,NULL,0
2148,2148,1,0,ANDRADE E LEONE INFORMATICA,ANDRADE E LEONE INFORMATICA,ANDRADE E LEONE INFORMATICA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2149,2149,1,0,BSR PECAS E ACESSORIOS PARA AUTOS LTDA,BSR PECAS E ACESSORIOS PARA AUTOS LTDA,BSR PECAS E ACESSORIOS PARA AUTOS LTDA,NULL,NULL,NULL,NULL,NULL,NULL,13560-000,NULL,NULL,NULL,PQ SANTA MONICA,TANCREDO DE ALMEIDA NEVES,220,NULL,NULL,0
2158,2158,1,0,C EDUARDO VALENTINO ME,C EDUARDO VALENTINO ME,C EDUARDO VALENTINO ME,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2159,2159,1,0,SAAE SAO CARLOS,SAAE SAO CARLOS,SAAE SAO CARLOS,NULL,NULL,NULL,NULL,NULL,NULL,13570-590,SP,3548906,SAO CARLOS,VILA MARCELINO,RUA MIGUEL BARROS,375,NULL,NULL,0
2160,2160,1,0,DMA,DMA,DMA,NULL,NULL,(11) 2374 - 2989,NULL,importadoradma@yahoo.com.br,NULL,NULL,SP,3513801,DIADEMA,NULL,NULL,NULL,NULL,NULL,0
2194,2194,1,0,ELEKTRO REDES S.A.,ELEKTRO REDES S.A.,ELEKTRO REDES S.A.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2212,2212,1,0,VX COMERCIAL LTDA,VX COMERCIAL LTDA,VX COMERCIAL LTDA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2222,2222,1,0,TOFOLOS TREINAMENTOS E EVENTOS EMPRESAR,TOFOLOS TREINAMENTOS E EVENTOS EMPRESAR,TOFOLOS TREINAMENTOS E EVENTOS EMPRESAR,NULL,NULL,NULL,NULL,NULL,NULL,13560-000,SP,3548906,SAO CARLOS,JD ACAPULCO,RUA MIGUEL ABDENUR,1560,NULL,NULL,0
2232,2232,1,0,BROA,BROA,BROA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2236,2236,1,0,SYLCAR SAO JOAO BOA VISTA,CRC COMERCIO DE PNEU,CRC COMERCIO DE PNEU,64.660.624/0001-18,NULL,(19) 3634 - 2900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PNEUS GRANDE,0
2240,2240,1,0,SERGINHO MOTOS,SERGINHO MOTOS,SERGINHO MOTOS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2263,2263,1,0,GARBO MAIS,GARBO,GARBO,NULL,NULL,(16) 3415 - 6400,(16) 3415 - 6418,NULL,NULL,13561-260,SP,3548906,SAO CARLOS,PARQUE SANTA MONICA,AVENIDA TANCREDO DE ALMEIDA NEVES,220,NULL,NULL,0
2266,2266,1,0,CALAFATE TINTAS,EDEMILSON CALAFATE ME,EDEMILSON CALAFATE ME,03.357.929/0001-60,NULL,NULL,NULL,NULL,NULL,13560-180,SP,3548906,SAO CARLOS,CENTRO,RUA SETE DE SETEMBRO,656,NULL,NULL,0
2273,2273,1,0,RS LUBRIFICANTES,OLEO QUEIMADO,OLEO QUEIMADO,05.276.147/0001-22,441100290112,(16) 3506 - 1346,NULL,rslubrificantes@hotmail.com,NULL,13990-440,SP,3529302,MATAO,JD. BALISTA,AV. TROLESI,1310,NULL,(16)99757-1146(16)99388-5847,0
2274,2274,1,0,DISTRIBUIDOR-MAQAUTOMOTIVE,MAQAUTOMOTIVE,MAQAUTOMOTIVE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2276,2276,1,0,LEGISWEB LTDA EPP,LEGISWEB LTDA EPP,LEGISWEB LTDA EPP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
2287,2287,1,0,LEGISWEB LTDA EPP,LEGISWEB LTDA EPP,LEGISWEB LTDA EPP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
