id;codigo;registro_uso;registro_uso_usuario;fantasia;razao;ie;ie_inddest;documento;fixo_1;fixo_2;fixo_3_contato;fixo_3;endereco;numero;bairro;complemento;codigo_cidade;cidade;estado;cep;email;observacoes
562;0-00562;N;NULL;COMPUTADOR-CONSERTO;COMPUTADOR-CONSERTO;;9-NAO CONTR;;(__) 3412 - 6513;;9197-7201/9701-2666;;R.;;;;;SAO CARLOS;;_____-___;;MARCELO
563;0-00563;N;;VW-SORANA;SORANA COM.E IMPORTADORA LTDA;105235967115;9-NAO CONTR;61.088.795/0001-26;(11) 2141 - 5811;;0800125412-ROGERIO;;AVENIDA BRAZ LEME;295;CASA VERDE;;3550308;SAO PAULO;SP;02511-000;rogerio.sul@sorana.com.br;
564;0-00564;N;;EXAME ADM/DEM- POLICLINICA;EXAME ADM/DEM- POLICLINICA;;9-NAO CONTR;;(16) 3116 - 6101;;;;AV.COMENDADOR ALFREDO MAFFEI, 1605 1 ANDAR;;;;;SAO CARLOS;SP;_____-___;;
565;0-00565;N;NULL;PIPO ;PIPO ;;9-NAO CONTR;;(14) 2104 - 6109;;KIKO;;;;;;;JAU;SP;_____-___;;
566;0-00566;N;NULL;PNEU-FATE (ICONE) ;PNEU-FATE (ICONE) ;;9-NAO CONTR;;(17) 3253 - 3954;;LUPA-------017-92019744////JOANA;;;;;;;;;_____-___;;
567;0-00567;N;;BACURITY COMERCIAL, IMP. E EXP. LTDA;BACURITY COMERCIAL, IMP. E EXP. LTDA;492369301116;9-NAO CONTR;03.484.514/0001-58;(08) 0077 - 1752;(11) 3681 - 8266;LEANDRO (11)3653-1600;;AV.SANTO ANTONIO;2476;VILA OSASCO;;3534401;OSASCO;SP;06083-205;guilherme@bacurity.com.br;
568;0-00568;N;;FORD-PONTO FORD;FORD-PONTO FORD ;;9-NAO CONTR;05.198.100/0001-98;(16) 3236 - 3585;(16) 3236 - 3586;PAULINHO/GABRIEL;;R.SERGIPE;341;;;;RIB.PRETO;;_____-___;;341- AG.8665 C/C: 06969-9
569;0-00569;N;;MARCELO ZANETTI PECAS;MARCELO ZANETTI PECAS;;9-NAO CONTR;10.806.233/0001-30;(16) 3612 - 0763;(01) 6387 - 7762;MARCELO-9962-5728;;RUA TAMANDARE;842;CAMPOS ELISEOS;;3543402;RIBEIRAO PRETO;SP;14085-070;;
570;0-00570;N;NULL;AGUAS DO VALE NAUTICO CLUBE HOTEL;AGUAS DO VALE NAUTICO CLUBE HOTEL;;9-NAO CONTR;;(16) 3135 - 1323;;ELAINE-016-31351333;;ROD.SP 334  KM 91;;;;;RIFAINA;SP;_____-___;;
571;0-00571;N;;FORD-FLY;FORD-FLY ;;9-NAO CONTR;;(16) 3412 - 1212;;3412-1230-RENAN;;AV. GETULIO VARGAS, 2655 ;;SAO JUDAS TADEU;;;SAO CARLOS;SP;13570-672;;
572;0-00572;N;;FORD-ARAFOR;FORD-ARAFOR ;;9-NAO CONTR;;(16) 3303 - 6000;;JOSMAR;;;;;;;ARARAQUARA;SP;_____-___;;
573;0-00573;N;;RODA-KR ;RODA-KR ;;9-NAO CONTR;09.043.145/0001-44;(19) 3837 - 2255;;DENIS 19-997602005;;R: MARANHAO, 1400;;;;;JAGUARIUNA;SP;13820-000;dennisfrediani@terra.com.br;
574;0-00574;N;;RODA-S0S ;RODA-S0S ;;9-NAO CONTR;;(16) 3332 - 3295;;FABIO;;R.ANTONIO DE OLIVEIRA BUENO.355;;JD.TAMOIO;;;ARARAQUARA;SP;_____-___;sosrodasararaquara@uol.com.br;
575;0-00575;N;;COMPUTADOR-QUAD CORE-FABRICIO;COMPUTADOR-QUAD CORE-FABRICIO;;9-NAO CONTR;;(16) 3413 - 2111;;;;R: LARGA, 1026;;;;;SAO CARLOS;SP;_____-___;;
576;0-00576;N;NULL;DISTRIBUIDORA-GINJO ;DISTRIBUIDORA-GINJO ;;9-NAO CONTR;;(08) 0055 - 2000;;011-36703000;;;;;;;;;_____-___;;
577;0-00577;N;NULL;PNEU-PAULINHO ;PNEU-PAULINHO ;;9-NAO CONTR;;(18) 3351 - 2790;;018-97920631-SAMUEL;;;;;;;;;_____-___;;
578;0-00578;N;NULL;PNEU-SCUDERIA ;PNEU-SCUDERIA ;;9-NAO CONTR;;(11) 4976 - 3539;;JOAO-019-97779969;;AV.SAPOPEMBA.1402;;JD.UTINGA;;;STO ANDRE;SP;09250-301;vendas@scuderiadobrasil.com.br;
579;0-00579;N;NULL;RETIFICA CABECOTE-REIS CABECOTE (RIB.PR);RETIFICA CABECOTE-REIS CABECOTE (RIB.PR);;9-NAO CONTR;;(16) 3626 - 6578;;;;;;;;;;;_____-___;;
580;0-00580;N;;AUTO PECAS-BELLI;AUTO PECAS-BELLI;;9-NAO CONTR;;(__) 3361 - 2339;(__) 8721 - 0155;3411-3333;;;;;;;SAO CARLOS;SP;_____-___;;
581;0-00581;N;;ACESSORIOS-DANFAP;DANFAB PECAS E ACESSORIOS LTDA;336399129118;9-NAO CONTR;06.053.779/0001-90;(11) 2178 - 7000;;CARLOS 11-2178-7069;;RUA PEDRO ALVARES CABRAL;785;JARDIM VILA GALVAO;;3518800;GUARULHOS;SP;07055-061;;ITAU-AG1596/CC<28481-8
582;0-00582;N;;FABRICA-MONROE;MONROE ;;9-NAO CONTR;;(08) 0016 - 6004;;FABIANO CONSULTOR-019-96777920;;;;;;;;;_____-___;;
583;0-00583;N;;DISTRIBUIDORA-5 AGOSTO;DISTRIBUIDORA-5 AGOSTO ;22348358/8359;9-NAO CONTR;;(11) 2234 - 8300;(11) 2234 - 8354;ROBSON-011-86725031;;;;;;;SAO PAULO;;_____-___;robinson.vendas@5deagosto.com.br;"FABIANE/BIBI 20893*87****11-96184-3342 021-11 2234-8370 ANGELA DO FINACEIRO MICHEL--------999634566"
584;0-00584;N;NULL;PNEUBACK INDUSTRIA E COMERCIO DE PNEUS LTDA.;PNEU-BACK ;;9-NAO CONTR;31.611.700/0001-46;(21) 2111 - 7683;;LUIS-(11)7721-8294/RENATA 32*1074 ;;ROD.W.LUIZ 2400  KM2.5;;PQ.DUQUE DE CAXIAS;;;DUQUE DE CAXIAS;RJ;_____-___;lfernandes@pneuback.com.br;CONTA: BRADESCO 3379-0 /CONTA 102.353-5
585;0-00585;N;NULL;RETIFICA CABECOTE-SO CABECOTE;RETIFICA CABECOTE-SO CABECOTE;;9-NAO CONTR;;(16) 3636 - 0324;(16) 3625 - 3554;EDMILSON;;R: SERGIPE, 79;;CAMPOS ELISEOS;;;RIBEIRAO PRETO;SP;_____-___;;
586;0-00586;N;;MITSUBISHI-KIOTO;MITSUBISHI-KIOTO;;9-NAO CONTR;08.588.820/0001-58;(16) 3913 - 9292;;SAULO;;;;;;;RIBEIRAO P;SP;_____-___;pecas3@kyotoveiculos.com.br;BRADESCO-3373-1 CC-148-1KIRAGE
587;0-00587;N;;MITSUBISHI-M.CAMP;MITSUBISHI-M.CAMP;;9-NAO CONTR;;(19) 3796 - 1010;;;;;;;;;CAMPINAS;SP;_____-___;;
588;0-00588;N;;IMPORTADOS-TONINI(MOTORES) ;IMPORTADOS-TONINI(MOTORES) ;148759815115;9-NAO CONTR;11.091.418/0001-78;(11) 3986 - 3000;(11) 2827 - 2549;GUILHERME;;AV. ITABERABA, 4516;;VL.NOVA CACHOEIRINHA;;;SAO PAULO;SP;02739-000;aptonini@terra.com.br;
2546;jul/46;N;NULL;MARCOS AURELIO DOS SANTOS;MARCOS AURELIO DOS SANTOS;;9-NAO CONTR;;(14) 3624 - 7357;;MARCOS;(14) 9799 - 7824;RUA DESEMBARGADOR JOSE DE ALMEIDA PRADO FRAGA;241;VILA INDUSTRIAL;;3525300;JAU;SP;17204-170;;
589;0-00589;N;NULL;PECAS-AUTO CLIN(VW);PECAS-AUTO CLIN(VW);;9-NAO CONTR;;(11) 2723 - 7000;(11) 2723 - 7009;TONINHO ID 3174*68;;;;;;;;;_____-___;;
590;0-00590;N;NULL;RADIO-JOVEM PAM ;RADIO-JOVEM PAM ;;9-NAO CONTR;;(__) 3116 - 1646;;ROGERIO OLIVEIRA;;R.BENTO CARLOS .61;;CENTRO;;;SAO CARLOS;SP;_____-___;;
591;0-00591;N;;CESTAS-AMOR EM CESTAS;CESTAS-AMOR EM CESTAS;;9-NAO CONTR;;(__) 3374 - 3149;;;;R.DESEMBARGADOR JULIO DE FARIA.492 (TRAVESSA 7 VIL;;;;;SAO CARLOS;SP;_____-___;;
592;0-00592;N;;PEUGEOT-MASTER;J.B.PINHEIRO COM.PECAS-ME;582662744118;9-NAO CONTR;06.247.097/0001-18;(16) 3519 - 4560;;AGNALDO/CLAUDINEI 9777-7745;;;;CENTRO;;;RIB.PRETO;SP;14010-170;;LUCIMARA
593;0-00593;N;NULL;LUBRIFICANTES-LUBSOL ;LUBRIFICANTES-LUBSOL ;;9-NAO CONTR;;(19) 2105 - 0770;(19) 2105 - 0764;MICHEL 81742525;;R.OLAVO BILAC .83;;BAIRRO VERDE;;;PIRACICABA;SP;13424-405;;
594;0-00594;N;;PNEU-BONI ;PNEU-BONI ;98145-1342;9-NAO CONTR;;(__) 3375 - 1673;;ATACAD0---33755221;(16) 9626 - 4365;;;;;;;;_____-___;;
595;0-00595;N;NULL;MARCO-MECANICO ;MARCO-MECANICO ;;9-NAO CONTR;;(__) 3343 - 2734;;;;;;;;;;;_____-___;;
596;0-00596;N;NULL;DOA INFORMATICA/COMPUTADORES;MAURO EVARISTO DA SILVA;;9-NAO CONTR;;(16) 3411 - 0275;;;;R: SEBASTIAO SAMPAIO OSORIO, 411;;STA FELICIA;;;SAO CARLOS;SP;_____-___;;
597;0-00597;N;;PEUGEOT-ALMA;PEUGEOT-ALMA;;9-NAO CONTR;;(16) 3617 - 2775;;GUSTAVO;;;;;;3543402;RIBEIRAO PRETO;SP;_____-___;;
598;0-00598;N;;IMPORTADOS-NERVESA ;IMPORTADOS-NERVESA ;;9-NAO CONTR;;(11) 3336 - 4300;;(11)3336-4308;;;;;;;SAO PAULO;SP;_____-___;;55*30*22713 WILSON
599;0-00599;N;;DISTRIBUIDORA-KITSCAP;DISTRIBUIDORA-KIT SCAP;;9-NAO CONTR;;(80) 0941 - 3636;(__) 3509 - 6565;JEF ;;R: ALAGOAS, 112;;CAMPOS ELISEOS;;;RIB.PRETO;SP;14080-080;www.kitscap.com.br;3509-6565
600;0-00600;N;;PISO-ARMANDO PRADO ;PISO-ARMANDO PRADO ;;9-NAO CONTR;;(__) 3372 - 3065;;;;R.SEBASTIAO SAMPAIO OSORIO.1003;;STA FELICIA;;;SAO CARLOS;SP;13563-320;;
601;0-00601;N;;CHOPP-GERMANIA 3375-7317 - ANA;CHOPP-MINA DO CHOPP COMERCIO DE BEBIDA;;9-NAO CONTR;;(__) 3375 - 2903;;;;AV.GRECIA, 16;;VILA PRADO;;;SAO CARLOS;SP;13574-140;;
602;0-00602;N;;BODIPASA;BODIPASA ;;9-NAO CONTR;;(__) 9703 - 9411;;GILBERTO-35263014;(11) 3526 - 3008;;;;;;;;_____-___;;
603;0-00603;N;NULL;PNEU-IMPORTADO (NOVA FUTURA );NOVA FUTURA COM.IMPOTR.EXPORT DE PROD.PNEUMATICOS LTDA;635624619111;9-NAO CONTR;08.271.218/0001-92;(11) 4126 - 7070;;011-99865986;;R.OLAVO BILAC,359;;JD.OLAVO BILAC;;;SAO BERNARDO DO CAMPO;SP;9725570;michele@futurapneus.com.br;BRADESCO:BANCO:237/AG:1844/CC:36590-4
604;0-00604;N;;FEZ CASA CHUPETA;PEDREIRO JULIO;;9-NAO CONTR;;(16) 3307 - 9989;;;;;;;;;;;_____-___;;
605;0-00605;N;NULL;RODA-TIBIRICA (SCORRO/MANGENS/TSW);RODA-TIBIRICA (SCORRO/MANGENS/TSW);;9-NAO CONTR;;(16) 3612 - 2202;;;;;;;;;;;_____-___;;
606;0-00606;N;NULL;SPORT-PODIO ;SPORT-PODIO ;;9-NAO CONTR;;(16) 3376 - 3240;;;;;;;;;SAO CARLOS;SP;13560-000;;
607;0-00607;N;;PNEU-COLETA(PREFEITURA);COLETA-PNEU (PREFEITURA) ;;9-NAO CONTR;;(16) 3371 - 7238;;THIAGO;;;;;;;SAO CARLOS;SP;13560-000;;SECRETARIA CIENCIA E TECNOLOGIA
608;0-00608;N;;PARAFUSOS-CAMIR ;PARAFUSOS-CAMIR ;;9-NAO CONTR;;(16) 3368 - 2471;;;;;;;;;SAO CARLOS;SP;13560-000;;
609;0-00609;N;;AUTOMEC-RENAULT;AUTOMEC-RENAULT;;9-NAO CONTR;;(15) 2102 - 8159;;FELIPE;(19) 3705 - 3021;AVENIDA DARCI CARVALHO DAFFERNER;300;BOA VISTA;;3552205;SOROCABA;SP;18085-850;;
2595;jul/95;N;NULL;LUAD RESTAURANTE E SORVETERIA;RESTAURANTE E SORVETERIA LTDA- ME;40116974114;9-NAO CONTR;06.788.844/0001-25;;;;;AVENIDA CAETANO PERLATTI;684;JARDIM ESTADIO;;3525300;JAU;SP;17203-370;;
610;0-00610;N;NULL;PNEU-IMPORTADO (GIGANTE) (PASSEIO) ;PNEU-IMPORTADO (GIGANTE) (PASSEIO) ;;9-NAO CONTR;;(17) 3225 - 2630;;REINALDO;;;;;;;;;_____-___;;
611;0-00611;N;;PNEU-GRID;CLS COMERCIO DE PNEUS LTDA;209408820119;9-NAO CONTR;09.479.579/0001-91;(14) 3878 - 7878;(__) 3878 - 7879;MARCO-16-78143652;;R: ANTONIO GOBETTE, 775;;VILA ENGLER;;;BAURU;SP;17047-011;marcos.almeida@gridpneus.com.br;"CARDOSO  /MARCOS 014-9616-1676/96*217135 BRASIL:AG:1255-6/CC:21750-6
612;0-00612;N;NULL;BRINDES-PEDROSO(RELOGIOS);PEDROSO;;9-NAO CONTR;;(01) 6333 - 9447;;8137-6914/9711-0442;;;;;;;;;_____-___;pedrosbrindes@bol.com.br;
613;0-00613;N;;RETIFICA FREIOS-CARLINHO ;RETIFICA FREIOS-CARLINHO ;;9-NAO CONTR;;(__) 3361 - 5488;;;;;;;;;SAO CARLOS;SP;_____-___;;
614;0-00614;N;;TRANSPORTE-CRISTIANO;TRANSPORTE-CRISTIANO;;9-NAO CONTR;;(__) 9206 - 7187;;;;;;;;;;;_____-___;;
615;0-00615;N;;INJECAO-PAULINHO TECNOCAR;INJECAO-TECMIL;;9-NAO CONTR;;(__) 9993 - 7808;(16) 3339 - 1968;34164773/32017872;;;;;;;;;_____-___;3339-5968;89*24711-----PAULINHO
616;0-00616;N;NULL;ADVOGADO-ALESSANDRA;ADVOGADO-ALESSANDRA;;9-NAO CONTR;;(16) 3374 - 1451;(16) 9717 - 5035;;;R: STA CRUZ, 61;;CENTRO;;;SAO CARLOS;SP;13560-000;;PROXIMO A ESTACAO
617;0-00617;N;;LAVA RAPIDO-TURCO;LAVA RAPIDO-TURCO;;9-NAO CONTR;;(__) 3307 - 1819;;;;;;;;;SAO CARLOS;SP;_____-___;;
618;0-00618;N;NULL;FINANCEIRA-GOMES;FINANCEIRA-GOMES;;9-NAO CONTR;;(16) 3368 - 9191;;96062770;;;;;;;;;_____-___;;
619;0-00619;N;;PEREZ - FELIPE;GASES-PEREZ;;9-NAO CONTR;;(16) 3371 - 9540;;99993-8120;;;;;;;;;_____-___;;
620;0-00620;N;NULL;LOGIMIX COMERCIO DE VEICULOS LTDA;BRJ(MIX CAR VEICULOS);;9-NAO CONTR;06.081.882/0001-43;(11) 3717 - 8188;(11) 3717 - 8186;MARCONI MAGALHAES     MIXCARHOTMAIL.COM;;AV.MARGINAL DOS PINHEIROS, N 16.741 - LOJA 16;;MORUMBI;;;SAO PAULO;SP;_____-___;mixcar@mixcarveiculos.com.br;B.BRADESCO AG:2415-5  C/C:24.400-7
621;0-00621;N;NULL;BRJ (NACAO COM.E REPRES.DE VEICULOS LTD;BRJ (NACAO COM.E REPRES.DE VEICULOS LTD;;9-NAO CONTR;02.125.994/0001-06;;(11) 2602 - 1800;OSCAR;;;;;;;SAO PAULO;SP;_____-___;;BCO SAFRA (422) AG:0188-0/CC:0052-8
622;0-00622;N;;ROSCA-GUIDELI MOTOS;ROSCA-GUIDELI MOTOS;;9-NAO CONTR;;(16) 3372 - 6241;;;;;;;;;SAO CARLOS;SP;_____-___;;
623;0-00623;N;NULL;ACESSORIOS-TEM DE TUDO ;ACESSORIOS-TEM DE TUDO ;;9-NAO CONTR;;(16) 3307 - 8959;;PERTO KARWAGEM;;R: DA. ALEXANDRINA;;;;;;;_____-___;;
624;0-00624;N;NULL;PNEU-IMPORTADO (CAPRI) ;PNEU-IMPORTADO (CAPRI) ;;9-NAO CONTR;;(27) 2121 - 9191;;8009791055;;;;;;;;;_____-___;fabio@caproimport.com.br;
625;0-00625;N;NULL;EMBALAGENS-FREITAS ;EMBALAGENS-FREITAS ;;9-NAO CONTR;;(__) 3116 - 1604;;;;;;;;;;;_____-___;;
626;0-00626;N;NULL;AROMATIZANTE ;AROMATIZANTE ;;9-NAO CONTR;;(14) 9146 - 0660;(14) 3018 - 2504;MARCOS;;;;;;;;;_____-___;;
627;0-00627;N;;PRESIDENTE-PIRACICABA;APE AUTO PECAS EIRELLI;1621064199;9-NAO CONTR;06.987.857/0004-76;(19) 2106 - 4699;;PDPIRACICABAGMAIL.COM;;R.DNA REGINA;455;PAULICEIA;BARRACAO;3538709;PIRACICABA;SP;13424-165;presidente.vendas@terra.com.br;(19)2106-4690 - (19)9264-9613 LUCIANA /TEM  NEXTEL(19)97080278-DITO/CABOS DHB/TEM NEXTEL    MICHAEL GARANTIA.PIRACICABAGMAIL.COM
628;0-00628;N;NULL;BORRACHARIA-GP;BORRACHARIA-GP;;9-NAO CONTR;;(16) 3306 - 8825;;GERALDO;;JULIANO PAROLLO,;;JD.PAULISTANO;;;SAO CARLOS;SP;13564-540;;
629;0-00629;N;;LEME ARTIGOS AUTOMOTIVOS LTDA;LEME ARTIGOS AUTOMOTIVOS LTDA;209040949111;9-NAO CONTR;44.466.266/0001-08;(14) 2106 - 1211;(08) 0070 - 1889;;;RUA DOMINGOS BIANCARDI;116;DISTRITO INDUSTRIAL DOMINGOS BIANCARDI;;3506003;BAURU;SP;17034-420;www.lemelub.com.br;
2685;fev/85;N;;SCAPEX BAURU;SCAPEX DISTRIBUICAO E COMERCIO DE AUTO PECAS LTDA;209498485118;9-NAO CONTR;03.409.583/0014-11;(08) 0754 - 3003;;;;R JORGE PIMENTEL, 3-48;0;VILA ENGLER;;3506003;BAURU;SP;17047-010;;
631;0-00631;N;NULL;IMPORTADOS-GAMACAR ;IMPORTADOS-GAMACAR ;;9-NAO CONTR;;(11) 2256 - 5588;;GAUCHO;;;;;;;SAO CARLOS;;_____-___;;
632;0-00632;N;;ALEXANDRE;ELEVADORES-MANUTENCAO;;9-NAO CONTR;;(__) 9701 - 9766;;;;;;;;;SAO CARLOS;SP;_____-___;;
633;0-00633;N;NULL;IMPORTADOS-SADY (MOTORES) ;IMPORTADOS-SADY (MOTORES) ;;9-NAO CONTR;;(11) 2219 - 7900;;DAVI;;;;;;;SAO PAULO;SP;_____-___;;
634;0-00634;N;NULL;IMPORTADOS-GAIVOTA IMPORTS;IMPORTADOS-GAIVOTA IMPORTS;;9-NAO CONTR;;(11) 2063 - 6816;(11) 3628 - 7000;LILIAN;;;;;;;;;_____-___;lilian.gaivota@hotmail.com;30*64327
635;0-00635;N;NULL;PNEU-IMPORTADO (SANNER);PNEU-IMPORTADO (SANNER);;9-NAO CONTR;;(47) 3232 - 0102;;MARCOS/SEVER;;;;;;;STA CATARINA;;_____-___;vendas@sanner.com.br;
637;0-00637;N;NULL;PROPAGANDA-SAO CARLOS AGORA;PROPAGANDA-SAO CARLOS AGORA;;9-NAO CONTR;;;;MARCIO;;;;;;;;;_____-___;;AIELLO-33760458
638;0-00638;N;NULL;ELETRICIDADE-ELETRO NACIONAL;ELETRICIDADE-ELETRO NACIONAL;;9-NAO CONTR;;(16) 3371 - 5257;;;;;;;;;SAO CARLOS;SP;_____-___;;
640;0-00640;N;NULL;CABECOTE--SERGIO;CABECOTE--SERGIO;;9-NAO CONTR;;(__) 7811 - 6339;;;;;;;;;SAO CARLOS;;_____-___;;
641;0-00641;N;NULL;BORRACHAS-CANDANGO;BORRACHAS-CANDANGO;;9-NAO CONTR;;(16) 3931 - 3371;;ANTONIO CARLOS;;;;;;;RIB.PRETO;SP;_____-___;;
642;0-00642;N;;CPFL ;CPFL ;;9-NAO CONTR;;(80) 0010 - 1010;;;;;;;;;;;_____-___;;
2809;jan/09;N;NULL;APAE;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SAO CARLOS;;9-NAO CONTR;59.620.690/0001-24;(16) 2107 - 5167;;;;AVENIDA PROFESSOR LUIZ AUGUSTO DE OLIVEIRA;465;VILA MARINA;;3548906;SAO CARLOS;SP;13566-340;apaesc@apaesaocarlossp.org.br;
643;0-00643;N;;DISTRIBUIDOR-JUMORI(IMPORTADOS);JUMORI COM. AUTO PECAS LTDA;0800-941-8600;9-NAO CONTR;00.004.559/0001-90;(16) 3514 - 6000;;WESLY;;AV.: BRASIL  255;;VL CARVALHO;;;RIBEIRAO PRETO;SP;14090-200;vendas185@jumori.com.br;"ROGERIO - (16)9186-8332     WWW.JUMORI.COM.BR BANCO BRASIL AG:2890-8/CC101339-4"
644;0-00644;N;NULL;CELULARES-(MIRIAN) ;CELULARES-(MIRIAN) ;;9-NAO CONTR;;(11) 9830 - 4903;;BCO BRASIL-AG:1541-5/CC:12369-2;;;;;;;;;_____-___;;
645;0-00645;N;NULL;PNEU-EXTRA;PNEU-EXTRA;;9-NAO CONTR;;(16) 3331 - 6628;;RICARDO;;;;;;;ARARAQUARA;SP;_____-___;;
646;0-00646;N;;BERBAL;BERBAL ;;9-NAO CONTR;;(__) 3368 - 6203;;;;;;;;;;;_____-___;;
647;0-00647;N;NULL;COMPUTADOR-VIP INFORMATICA;COMPUTADOR-VIP INFORMATICA;;9-NAO CONTR;;(16) 3201 - 2990;;CARLOS/DONIZETE;;R: JOAQUIM AUGUSTO RIBEIRO DE SOUZA, 1270;;STA FELICIA;;;SAO CARLOS;SP;_____-___;;
648;0-00648;N;NULL;ENGENHEIRO-ERICO;ENGENHEIRO-ERICO;;9-NAO CONTR;;(16) 3413 - 1774;;;;R: DES.JULIO DE FARIA, 394;;;;;SAO CARLOS;SP;13560-000;;
649;0-00649;N;NULL;PEDREIRO-JOAO (VIZINHO MAE);PEDREIRO-JOAO (VIZINHO MAE);;9-NAO CONTR;;(16) 3361 - 7461;;;;;;;;;SAO CARLOS;SP;13560-000;;
651;0-00651;N;NULL;ENGENHEIRO-PISTELI-9168072;ENGENHEIRO-LAURIBERTO ;;9-NAO CONTR;;(__) 9114 - 3947;;;;;;;;;;;_____-___;;
652;0-00652;N;;TORNEIRO-CAPIM;TORNEIRO-CAPIM ;;9-NAO CONTR;;(16) 3361 - 7572;;;;;;;;;SAO CARLOS;SP;13560-000;;
654;0-00654;N;;FERRAMENTA P/TROCA OLEO;LUBRIFICANTES-FERRAMENTA;;9-NAO CONTR;;(19) 9777 - 5233;(19) 3585 - 2236;FARIA;;AV.NOSSA SENHORA APARECIDA,765;;VILA SIBILA;;;PORTO FERREIRA;SP;_____-___;trocarescap@hotmail.com;
656;0-00656;N;;CARTAO-GET NET;CARTAO-GET NET;;9-NAO CONTR;;(51) 3598 - 9800;(11) 4002 - 5005;DANIEL 9234-0879;;R: MACHADO DE ASSIS, 56-PREDIO 02 E 03;;SANTA LUCIA;00000/ 14474;;CAMPO BOM;RS;93700-000;danielbc@getnet-tecnologia.com.br;"B.BRASIL AG:3305-7 / CC: 23209-2                14474   SANTANDERGETNET.COM.BR LOGIN 716794 SENHA : CAS 978903051-40024000 OU 40034000  ATENDIMENTO AO  CLIENTE  08006488000 PROTOCOLO CANCELAMENTO 5395900  OS TECNICO 2963268"
657;0-00657;N;NULL;PNEU-NR (MARCELO) USADO;PNEU-NR (MARCELO) USADO;;9-NAO CONTR;;(16) 3228 - 5779;;;;;;;;;RIB.PRETO;SP;_____-___;;
658;0-00658;N;;MONOBLOCO-SAO CARLOS;MONOCASTER GABARITACOES LTDA - ME;637142365112;9-NAO CONTR;03.114.262/0001-75;(16) 3368 - 9411;;ROBSON;;AV. GETULIO VARGAS, 820;;JD.SAO PAULO;;;SAO CARLOS;SP;13570-390;tenorio;
659;0-00659;N;;PNEU-FATE (VIPAL) ;PNEU-FATE (VIPAL) ;;9-NAO CONTR;;(80) 0707 - 0234;;MARCELO  ARAGAO;;AV.SEVERO DULLLIUS ,1395;;SAO JOAO;;;PORTO ALEGRE;RS;90200-130;marcello.aragao@vipal.com.br;
660;0-00660;N;;FERRAMENTA-CHICO ;FERRAMENTA-CHICO ;;9-NAO CONTR;;(16) 9176 - 9563;;3501-1445;;;;;;;;;_____-___;;
661;0-00661;N;NULL;CABELEIREIRA -GISLAINE;CABELEIREIRA ;;9-NAO CONTR;;(16) 3201 - 0405;;33729612;;R.MIGUEL JOAO;;SANTA FELICIA;;;SAO CARLOS;SP;13560-000;;
662;0-00662;N;NULL;BANCO-BRADESCO ;BANCO-BRADESCO ;;9-NAO CONTR;;(__) 3411 - 5228;;BAD;;R: JESUINO DE ARRUDA;;;;;SAO CARLOS;SP;13560-000;;
663;0-00663;N;NULL;CASA DOS MACHOS ;CASA DOS MACHOS ;;9-NAO CONTR;;(11) 3315 - 0633;;;;;;;;;SAO PAULO;SP;_____-___;;
664;0-00664;N;;GAUCHO;PECAS USADAS-FERRO VELHO-GAUCHO ;;9-NAO CONTR;;(__) 3375 - 7863;(__) 9703 - 8474;;;AVENIDA JOSE ANTONIO MIGLIATO;;CIDADE ARACY;;3548906;SAO CARLOS;SP;13573-000;;
665;0-00665;N;;AROLDO FERRO VELHO-PECAS USADA;AROLDO FERRO VELHO-PECAS USADA;;9-NAO CONTR;;(__) 3375 - 4205;;;;AV.ANTONIO MIGLIATO ;;CIDADE ARACY;;;SAO CARLOS;SP;_____-___;;
666;0-00666;N;NULL;POLICIA PM ;POLICIA PM ;;9-NAO CONTR;;(__) 3371 - 4387;;;;;;;;;;;_____-___;;
667;0-00667;N;NULL;PONTOSHOP;SITE-BRASIL SHOP EMPREENDIMENTOS LTDA;;9-NAO CONTR;03.644.760/0001-22;(__) 9157 - 0393;;CLAYTON ;;RAFAEL DE ABREU SAMPAIO VIDAL, 1539;;VILA NERY;;;SAO CARLOS;SP;13560-050;claytom@globo.com;VENDASCASALEACHOTMAIL.COM (AUTO2886)     
669;0-00669;N;;FINANCEIRA-LOSANGO;FINANCEIRA-LOSANGO ;;9-NAO CONTR;;(16) 3610 - 2875;;;;;;;;;ARARAQUARA;SP;_____-___;;"08007214252 JORGE-99201-9851"
670;0-00670;N;;LIVRARIA-PAULISTA ;LIVRARIA-PAULISTA ;;9-NAO CONTR;;(16) 3371 - 9439;;;;R: GENERAL OSORIO, 840  ;;CENTRO;;;SAO CARLOS;SP;13560-640;;
671;0-00671;N;;ENGATES-METALVIS ;RGS DISTR.DE PECAS E ACESS.LTDA ME;;9-NAO CONTR;53.158.093/0001-43;(19) 3491 - 6191;;(19)99178-7698 JUNIOR;;R.RUITHER MOREIRA RODRIGUES;;;;;;;_____-___;b/b  ag: 0699-8 c/c: 6264-2;"341- AG:0206   CC.:28146-1  CLAUDIO DONIZETTI CPF:984.407.488-68   (019) 9118-0576 RICARDO DEBORAMETALVIS.COM.BR"
672;0-00672;N;NULL;ACESSORIOS-MATRIX (SOM ) ;ACESSORIOS-MATRIX (SOM ) ;;9-NAO CONTR;;(16) 3965 - 9998;;;;AV.PRESIDENTE CASTELO BRANCO.1705/1735;;;;;;;_____-___;;
